Study,FakeReal,ItemNum,PartisanOverall,P_Clinton,P_Trump,PartisanDiff,Familiarity,F_Clinton,F_Trump,FamiliarityDiff,headline
2,1,Fake2,4.06060606060606,4.27692307692307,3.66666666666667,-0.610256410256407,2.91919191919192,2.96923076923077,2.96875,-0.000480769230769,Fs c 5 clinton divorce
2,1,Fake3,3.75757575757576,4,3.27272727272727,-0.727272727272728,2.96938775510204,2.78461538461539,2.72727272727273,-0.057342657342658,Fs c 9 eastwood rejects medal of freedom from obama
2,1,Fake4,3.66666666666667,3.70769230769231,3.60606060606061,-0.101631701631702,2.76767676767677,2.87692307692308,2.78787878787879,-0.08904428904429,Fs c 11 ginsburg taken to hospital
2,1,Fake5,3.92929292929293,4.18461538461538,3.45454545454546,-0.73006993006993,2.89795918367347,2.92307692307692,2.90909090909091,-0.013986013986014,Fs c 24 trump stopped obama from going to castro's funeral
2,1,Fake6,3.90816326530612,4.078125,3.57575757575758,-0.502367424242425,2.84848484848485,2.921875,2.81818181818182,-0.103693181818183,Fs c 25 trump stops obama's mandatory muslim prayers
2,1,Fake7,2.45454545454545,2.50769230769231,2.36363636363636,-0.144055944055944,2.91919191919192,2.87692307692308,2.81818181818182,-0.058741258741259,Fs l 7 collins calls lewis a chimp
2,1,Fake8,2.17171717171717,2.15384615384615,2.18181818181818,0.027972027972028,2.82828282828283,2.703125,2.51515151515152,-0.187973484848484,Fs l 12 gorsuch founded fascism forever club
2,1,Fake9,2.53535353535353,2.67692307692308,2.27272727272727,-0.404195804195805,2.88775510204082,2.953125,2.78787878787879,-0.165246212121212,Fs l 19 trump ban gay tv shows
2,1,Fake10,2.47474747474747,2.55384615384615,2.3030303030303,-0.25081585081585,2.48484848484848,2.73846153846154,2.78787878787879,0.04941724941725,Fs l 16 pence marriage saved by gay conversion therapy
2,1,Fake11,1.61616161616162,1.6,1.63636363636364,0.036363636363637,2.61616161616162,2.92307692307692,2.90909090909091,-0.013986013986014,Fs l 17 pennsylvania court remove trump
2,1,Fake12,2.3030303030303,2.35384615384615,2.15151515151515,-0.202331002331003,2.58163265306122,2.671875,2.54545454545455,-0.126420454545455,Fs l 14 palin boycott mall of america because santa is white
2,2,Real1,3.82291666666667,3.69811320754717,4,0.301886792452831,2.11578947368421,2.23076923076923,1.95238095238095,-0.278388278388279,Rs c 3 companies keeping jobs in us msn
2,2,Real2,3.51041666666667,3.60377358490566,3.40476190476191,-0.199011680143755,2.69791666666667,2.71698113207547,2.66666666666667,-0.050314465408805,Rs c 5 guiliani says clinton too stupid to be president
2,2,Real3,3.21875,3.32075471698113,3.0952380952381,-0.225516621743037,2.75,2.83018867924528,2.64285714285714,-0.18733153638814,Rs c 7 navy leaders defend trump
2,2,Real4,3.65625,3.81132075471698,3.47619047619048,-0.335130278526505,2.75,2.77358490566038,2.71428571428571,-0.059299191374665,Rs c 14 spike lee thinks clinton was entitled
2,2,Real5,3.82291666666667,3.83018867924528,3.83333333333333,0.003144654088051,2.60416666666667,2.58490566037736,2.61904761904762,0.034141958670261,Rs c 16 trump can keep business bloomberg
2,2,Real6,3.55789473684211,3.45283018867925,3.70731707317073,0.254486884491486,2.26041666666667,2.33962264150943,2.14285714285714,-0.196765498652292,Rs c 22 trump protect lgbtq
2,2,Real7,2.60416666666667,2.83018867924528,2.30952380952381,-0.520664869721474,2.58333333333333,2.66037735849057,2.47619047619048,-0.18418688230009,Rs l 1 clinton pac boost anti trump groups
2,2,Real8,2.75,2.71698113207547,2.78571428571429,0.068733153638815,2.5,2.43396226415094,2.57142857142857,0.137466307277627,Rs l 2 comeys handling of clinton influenced by russians
2,2,Real9,2.30208333333333,2.28301886792453,2.30952380952381,0.026504941599281,2.60416666666667,2.62264150943396,2.57142857142857,-0.051212938005391,Rs l 6 mini recession surrounding trump tower slate
2,2,Real10,2.71875,2.92452830188679,2.45238095238095,-0.472147349505839,2.58333333333333,2.64150943396226,2.5,-0.141509433962264,Rs l 8 nc repubs undermine dem gov huffpo
2,2,Real11,2.13541666666667,2.09433962264151,2.16666666666667,0.072327044025158,2.41052631578947,2.38461538461539,2.42857142857143,0.043956043956043,Rs l 9 putin involved in hack guardian
2,2,Real12,2.23958333333333,2.20754716981132,2.26190476190476,0.054357592093441,2.63541666666667,2.52830188679245,2.76190476190476,0.233602875112309,Rs l 18 trump lashes out at vanity fair npr
